,At Rim,3 to <10 ft,10 to <16 ft,16 ft to <3-pt,3-pt
Karl-Anthony Towns,0.692,0.477,0.443,0.403,0.348
Kawhi Leonard,0.664,0.509,0.463,0.487,0.387
Kay Felder,0.479,0.06,0.39,0.473,0.351
Kelly Olynyk,0.753,0.416,0.251,0.418,0.373
Kelly Oubre,0.634,0.291,0.334,0.481,0.296
Kemba Walker,0.579,0.339,0.378,0.392,0.405
Kenneth Faried,0.637,0.452,0.418,0.126,0.001
Kent Bazemore,0.567,0.243,0.298,0.416,0.34400000000000003
Kentavious Caldwell-Pope,0.637,0.255,0.366,0.404,0.373
Kevin Durant,0.797,0.48,0.435,0.548,0.379
Kevin Love,0.56,0.401,0.472,0.353,0.386
Kevin Seraphin,0.695,0.623,0.38,0.501,0.001
Kevon Looney,0.751,0.201,0.001,0.001,0.251
Khris Middleton,0.223,0.358,0.472,0.557,0.584
Klay Thompson,0.643,0.439,0.46900000000000003,0.458,0.408
Kosta Koufos,0.702,0.481,0.369,0.001,0.001
Kris Dunn,0.481,0.401,0.295,0.372,0.289
Kris Humphries,0.614,0.084,0.334,0.441,0.367
Kristaps Porzingis,0.695,0.323,0.47,0.338,0.378
Kyle Anderson,0.65,0.40700000000000003,0.236,0.287,0.401
Kyle Korver,0.648,0.445,0.305,0.523,0.452
Kyle Lowry,0.668,0.408,0.481,0.392,0.42
Kyle O\'Quinn,0.648,0.468,0.433,0.433,0.084
Kyle Singler,0.738,0.168,0.001,0.334,0.232
Kyle Wiltjer,0.301,0.001,0.001,0.001,0.001
Kyrie Irving,0.61,0.329,0.48,0.48,0.377
LaMarcus Aldridge,0.72,0.396,0.385,0.427,0.437
Lamar Patterson,0.201,0.001,0.501,0.168,0.001
Lance Stephenson,0.715,0.501,0.183,0.572,0.092
Lance Thomas,0.442,0.415,0.334,0.334,0.447
Langston Galloway,0.489,0.183,0.365,0.349,0.379
Larry Nance Jr.,0.754,0.478,0.334,0.436,0.155
Lavoy Allen,0.514,0.515,0.287,0.379,0.001
LeBron James,0.775,0.364,0.442,0.308,0.393
Leandro Barbosa,0.619,0.287,0.386,0.393,0.393
Lou Williams,0.647,0.421,0.357,0.381,0.394
